number,total,tes,pcs,ded,,,
418,71.73,37.08,34.65,0,Mao ASADA,2015,COC
419,54.76,27.64,27.12,0,Nicole RAJICOVA,2015,COC
420,62.38,33.4,28.98,0,Courtney HICKS,2015,COC
421,65.79,35.69,30.1,0,Rika HONGO,2015,COC
422,58.51,27.06,31.45,0,Elena RADIONOVA,2015,COC
423,61.47,31.37,31.1,0,Anna POGORILAYA,2015,COC
424,70.53,37.68,32.85,0,Wakaba HIGUCHI,2017,COC
425,67.1,35.67,31.43,0,Elizaveta TUKTAMYSHEVA,2017,COC
426,70.48,37.17,33.31,0,Elena RADIONOVA,2017,COC
427,74.61,39.39,35.22,0,Satoko MIYAHARA,2017,GPF
428,73.26,39.08,34.18,0,Wakaba HIGUCHI,2017,GPF
429,72.82,35.36,37.46,0,Carolina KOSTNER,2017,GPF
430,77.04,40.64,36.4,0,Kaetlyn OSMOND,2017,GPF
431,74,40.11,33.89,0,Maria SOTSKOVA,2017,GPF
432,76.27,41.21,35.06,0,Alina ZAGITOVA,2017,GPF
433,53.9,26.1,27.8,0,Dabin CHOI,2017,COC
434,70.65,37.51,33.14,0,Gabrielle DALEMAN,2017,COC
435,66.9,34.66,32.24,0,Mai MIHARA,2017,COC
436,61.57,28.1,33.47,0,Ashley WAGNER,2017,SC
437,52.6,24.77,28.83,1,Marin HONDA,2017,SC
438,61.6,32.27,29.33,0,Rika HONGO,2017,SC
439,59.08,31.49,27.59,0,Laurine LECAVELIER,2017,SC
440,76.06,40.12,35.94,0,Kaetlyn OSMOND,2017,SC
441,69.05,35.98,33.07,0,Anna POGORILAYA,2017,SC
442,66.1,34.39,31.71,0,Maria SOTSKOVA,2017,SC
443,61.77,31.34,30.43,0,Karen CHEN,2017,SC
444,54.96,28.17,26.79,0,Kailani CRAINE,2017,SC
445,64.06,35.58,28.68,0,Courtney HICKS,2017,SC
446,41.79,18.36,24.43,1,Larkyn AUSTMAN,2017,SC
447,46.51,21.34,26.17,1,Alaine CHARTRAND,2017,SC
448,56.31,28.73,27.58,0,Polina EDMUNDS,2017,TEB
449,59.53,29.6,30.93,1,Karen CHEN,2017,SA
450,68.08,35.1,32.98,0,Gabrielle DALEMAN,2017,SA
451,63.91,34.53,29.38,0,Alena LEONOVA,2017,SA
452,55.24,28.5,27.74,0,Xiangning LI,2017,SA
453,70.72,36.77,33.95,0,Satoko MIYAHARA,2017,SA
454,55.43,27.77,27.66,0,Nicole RAJICOVA,2017,SA
455,69.4,38.26,31.14,0,Kaori SAKAMOTO,2017,SA
456,66.28,36.51,29.77,0,Serafima SAKHANOVICH,2017,SA
457,67.01,37.63,29.38,0,Bradie TENNELL,2017,SA
458,63.2,33.31,30.89,0,Polina EDMUNDS,2017,SA
459,64.12,30.44,33.68,0,Ashley WAGNER,2017,SA
460,74.57,37.25,37.32,0,Carolina KOSTNER,2017,NHK
461,79.99,41.71,38.28,0,Evgenia MEDVEDEVA,2017,NHK
462,65.17,34.45,30.72,0,Mirai NAGASU,2017,NHK
463,70.04,38.78,31.26,0,Polina EDMUNDS,2017,NHK
464,65.83,34,31.83,0,Rika HONGO,2017,NHK
465,65.05,31.02,34.03,0,Satoko MIYAHARA,2017,NHK
466,43.65,23.91,19.74,0,Yasmine Kimiko YAMADA,2016,WC
467,52.8,32.41,20.39,0,Ziquan ZHAO,2016,WC
468,49.5,26.87,22.63,0,Mae Berenice MEITE,2016,WC
469,46.77,26.86,19.91,0,Kerstin FRANK,2016,WC
470,49.39,27.82,21.57,0,Anne Line GJERSEM,2016,WC
471,50.18,28.73,21.45,0,Viveca LINDFORS,2016,WC
472,48.86,25.89,23.17,0,Kailani CRAINE,2016,WC
473,44.58,23.78,21.8,1,Aleksandra GOLOVKINA,2016,WC
474,39.99,20.53,20.46,1,Sonia LAFUENTE,2016,WC
475,53.86,32.29,21.57,0,Anna KHNYCHENKOVA,2016,WC
476,43.25,22.34,21.91,1,Nathalie WEINZIERL,2016,WC
477,47.92,25.56,22.36,0,Ivett TOTH,2016,WC
478,47.75,26.6,21.15,0,Eliska BREZINOVA,2016,WC
479,57.5,32.72,24.78,0,Amy LIN,2016,WC
480,37.95,19.35,20.6,2,Dasa GRM,2016,WC
481,49.86,27.67,22.19,0,Niki WORIES,2016,WC
482,65.39,37.22,28.17,0,Zijun LI,2016,WC
483,53.24,29.61,23.63,0,Anastasia GALUSTYAN,2016,WC
484,55.67,29.87,26.8,1,Alaine CHARTRAND,2016,WC
485,52.27,27.04,25.23,0,So Youn PARK,2016,WC
486,56.56,30.56,26,0,Nicole RAJICOVA,2016,WC
487,61.63,35.09,26.54,0,Elizabet TURSYNBAEVA,2016,WC
488,47.67,23.64,25.03,1,Joshi HELGESSON,2016,WC
489,54.78,29.32,26.46,1,Angelina KUCHVALSKA,2016,WC
490,67.38,37.46,29.92,0,Gabrielle DALEMAN,2016,WC
491,65.74,34.73,31.01,0,Mirai NAGASU,2016,WC
492,65.87,33.27,32.6,0,Mao ASADA,2016,WC
493,73.16,38.43,34.73,0,Ashley WAGNER,2016,WC
494,57.9,31.14,26.76,0,Roberta RODEGHIERO,2016,WC
495,73.76,39.93,33.83,0,Evgenia MEDVEDEVA,2016,WC
496,71.7,38.29,33.41,0,Elena RADIONOVA,2016,WC
497,69.89,38.29,31.6,0,Rika HONGO,2016,WC
498,70.24,37.21,33.51,0,Satoko MIYAHARA,2016,WC
499,76.43,40.51,35.92,0,Gracie GOLD,2016,WC
500,73.98,39.77,34.21,0,Anna POGORILAYA,2016,WC
501,,,,,,,
502,,,,,,,
503,,,,,,,
504,,,,,,,
505,,,,,,,
506,,,,,,,
507,,,,,,,
508,,,,,,,
509,,,,,,,
510,,,,,,,
511,,,,,,,
512,,,,,,,
513,,,,,,,
514,,,,,,,
515,,,,,,,
516,,,,,,,
517,,,,,,,
518,,,,,,,
519,,,,,,,
520,,,,,,,
521,,,,,,,
522,,,,,,,
523,,,,,,,
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,,,,,,,
